tournament,season,team,finish
Canada Cup,1976,CAN,1
Canada Cup,1976,TCH,2
Canada Cup,1976,URS,3
Canada Cup,1981,USSR,1
Canada Cup,1981,CAN,2
Canada Cup,1981,TCH,3
Canada Cup,1984,CAN,1
Canada Cup,1984,SWE,2
Canada Cup,1984,URS,3
Canada Cup,1987,CAN,1
Canada Cup,1987,URS,2
Canada Cup,1987,SWE,3
Canada Cup,1991,CAN,1
Canada Cup,1991,USA,2
Canada Cup,1991,FIN,3
IIHF World Championship,1976,TCH,1
IIHF World Championship,1976,USSR,2
IIHF World Championship,1976,SWE,3
IIHF World Championship,1977,TCH,1
IIHF World Championship,1977,SWE,2
IIHF World Championship,1977,USSR,3
IIHF World Championship,1978,USSR,1
IIHF World Championship,1978,TCH,2
IIHF World Championship,1978,CAN,3
IIHF World Championship,1979,USSR,1
IIHF World Championship,1979,TCH,2
IIHF World Championship,1979,SWE,3
IIHF World Championship,1981,USSR,1
IIHF World Championship,1981,SWE,2
IIHF World Championship,1981,TCH,3
IIHF World Championship,1982,USSR,1
IIHF World Championship,1982,TCH,2
IIHF World Championship,1982,CAN,3
IIHF World Championship,1983,USSR,1
IIHF World Championship,1983,TCH,2
IIHF World Championship,1983,CAN,3
IIHF World Championship,1985,TCH,1
IIHF World Championship,1985,CAN,2
IIHF World Championship,1985,USSR,3
IIHF World Championship,1986,USSR,1
IIHF World Championship,1986,SWE,2
IIHF World Championship,1986,CAN,3
IIHF World Championship,1987,SWE,1
IIHF World Championship,1987,USSR,2
IIHF World Championship,1987,TCH,3
IIHF World Championship,1989,USSR,1
IIHF World Championship,1989,CAN,2
IIHF World Championship,1989,TCH,3
IIHF World Championship,1990,USSR,1
IIHF World Championship,1990,SWE,2
IIHF World Championship,1990,TCH,3
IIHF World Championship,1991,SWE,1
IIHF World Championship,1991,CAN,2
IIHF World Championship,1991,USSR,3
IIHF World Championship,1992,SWE,1
IIHF World Championship,1992,FIN,2
IIHF World Championship,1992,TCH,3
IIHF World Championship,1993,RUS,1
IIHF World Championship,1993,SWE,2
IIHF World Championship,1993,CZE,3
IIHF World Championship,1994,CAN,1
IIHF World Championship,1994,FIN,2
IIHF World Championship,1994,SWE,3
IIHF World Championship,1995,FIN,1
IIHF World Championship,1995,SWE,2
IIHF World Championship,1995,CAN,3
IIHF World Championship,1996,CZE,1
IIHF World Championship,1996,CAN,2
IIHF World Championship,1996,USA,3
IIHF World Championship,1997,CAN,1
IIHF World Championship,1997,SWE,2
IIHF World Championship,1997,CZE,3
IIHF World Championship,1998,SWE,1
IIHF World Championship,1998,FIN,2
IIHF World Championship,1998,CZE,3
IIHF World Championship,1999,CZE,1
IIHF World Championship,1999,FIN,2
IIHF World Championship,1999,SWE,3
IIHF World Championship,2000,CZE,1
IIHF World Championship,2000,SVK,2
IIHF World Championship,2000,FIN,3
IIHF World Championship,2001,CZE,1
IIHF World Championship,2001,FIN,2
IIHF World Championship,2001,SWE,3
IIHF World Championship,2002,SVK,1
IIHF World Championship,2002,RUS,2
IIHF World Championship,2002,SWE,3
IIHF World Championship,2003,CAN,1
IIHF World Championship,2003,SWE,2
IIHF World Championship,2003,SVK,3
IIHF World Championship,2004,CAN,1
IIHF World Championship,2004,SWE,2
IIHF World Championship,2004,USA,3
IIHF World Championship,2005,CZE,1
IIHF World Championship,2005,CAN,2
IIHF World Championship,2005,RUS,3
IIHF World Championship,2006,SWE,1
IIHF World Championship,2006,CZE,2
IIHF World Championship,2006,FIN,3
IIHF World Championship,2007,CAN,1
IIHF World Championship,2007,FIN,2
IIHF World Championship,2007,RUS,3
IIHF World Championship,2008,RUS,1
IIHF World Championship,2008,CAN,2
IIHF World Championship,2008,FIN,3
IIHF World Championship,2009,RUS,1
IIHF World Championship,2009,CAN,2
IIHF World Championship,2009,SWE,3
IIHF World Championship,2010,CZE,1
IIHF World Championship,2010,RUS,2
IIHF World Championship,2010,SWE,3
IIHF World Championship,2011,FIN,1
IIHF World Championship,2011,SWE,2
IIHF World Championship,2011,CZE,3
IIHF World Championship,2012,RUS,1
IIHF World Championship,2012,SVK,2
IIHF World Championship,2012,CZE,3
IIHF World Championship,2013,SWE,1
IIHF World Championship,2013,SUI,2
IIHF World Championship,2013,USA,3
IIHF World Championship,2014,RUS,1
IIHF World Championship,2014,FIN,2
IIHF World Championship,2014,SWE,3
IIHF World Championship,2015,CAN,1
IIHF World Championship,2015,RUS,2
IIHF World Championship,2015,USA,3
IIHF World Championship,2016,CAN,1
IIHF World Championship,2016,FIN,2
IIHF World Championship,2016,RUS,3
IIHF World Championship,2017,SWE,1
IIHF World Championship,2017,CAN,2
IIHF World Championship,2017,RUS,3
IIHF World Championship,2018,SWE,1
IIHF World Championship,2018,SUI,2
IIHF World Championship,2018,USA,3
IIHF World Championship,2019,FIN,1
IIHF World Championship,2019,CAN,2
IIHF World Championship,2019,RUS,3
IIHF World Championship,2021,CAN,1
IIHF World Championship,2021,FIN,2
IIHF World Championship,2021,USA,3
IIHF World Championship,2022,FIN,1
IIHF World Championship,2022,CAN,2
IIHF World Championship,2022,CZE,3
IIHF World Championship,2023,CAN,1
IIHF World Championship,2023,GER,2
IIHF World Championship,2023,LAT,3
IIHF World Championship,2024,CZE,1
IIHF World Championship,2024,SUI,2
IIHF World Championship,2024,SWE,3
IIHF World Championship,2025,USA,1
IIHF World Championship,2025,SUI,2
IIHF World Championship,2025,SWE,3
Olympics,1976,USSR,1
Olympics,1976,TCH,2
Olympics,1976,FRG,3
Olympics,1980,USA,1
Olympics,1980,URS,2
Olympics,1980,SWE,3
Olympics,1984,USSR,1
Olympics,1984,TCH,2
Olympics,1984,SWE,3
Olympics,1988,URS,1
Olympics,1988,FIN,2
Olympics,1988,SWE,3
Olympics,1992,EUN,1
Olympics,1992,CAN,2
Olympics,1992,TCH,3
Olympics,1994,SWE,1
Olympics,1994,CAN,2
Olympics,1994,FIN,3
Olympics,1998,CZE,1
Olympics,1998,RUS,2
Olympics,1998,FIN,3
Olympics,2002,CAN,1
Olympics,2002,USA,2
Olympics,2002,RUS,3
Olympics,2006,SWE,1
Olympics,2006,FIN,2
Olympics,2006,CZE,3
Olympics,2010,CAN,1
Olympics,2010,USA,2
Olympics,2010,FIN,3
Olympics,2014,CAN,1
Olympics,2014,SWE,2
Olympics,2014,FIN,3
Olympics,2018,RUS,1
Olympics,2018,GER,2
Olympics,2018,CAN,3
Olympics,2022,FIN,1
Olympics,2022,RUS,2
Olympics,2022,SVK,3
Olympics,2026,USA,1
Olympics,2026,CAN,2
Olympics,2026,FIN,3
World Cup of Hockey,1996,USA,1
World Cup of Hockey,1996,CAN,2
World Cup of Hockey,1996,RUS,3
World Cup of Hockey,2004,CAN,1
World Cup of Hockey,2004,FIN,2
World Cup of Hockey,2004,USA,3
World Cup of Hockey,2016,CAN,1
World Cup of Hockey,2016,RUS,3
